id;title;SCHULE1;address;lat;lng;type;SCHULFORM1;icon;color;Gebaeudeklasse;KESSFaktor;Summe2011;Summe2012;Summe2013;Summe2014;Summe2015;SCHULE2;REGION2;SCHULFORM2;Kessfaktor2;Plankosten2016
3233;Bugenhagen-Schule im Hessepark (Stadtteilschule);;Oesterleystraße 22, 22587 Hamburg;53.562148;9.807543;Stadtteilschule;;fa-building-o;green;;;;;;;;;;;;
7911;Bugenhagen-Schule Ottensen, Evangelische Grundschule an der Osterkirche;;Bei der Osterkirche 17, 22765 Hamburg;53.555101;9.932323;Grundschule;;fa-building-o;green;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Burgunderweg;Eimsbüttel;Grundschule;5;131700
5462;Carl-Cohn-Schule;Carl-Cohn-Schule;Carl-Cohn-Straße 2, 22297 Hamburg;53.601392;10.01186;Grundschule;Grundschule;fa-building-o;green;3,8;4;;;31475;17577;23094;Carl-Cohn-Schule;Hamburg-Nord;Grundschule;4;82000
5463;Carl-Götze-Schule;Carl-Götze-Schule;Brödermannsweg 2, 22453 Hamburg;53.606962;9.977931;Grundschule;Grundschule;fa-building-o;green;4;5;;;21139;14980;18216;Carl-Götze-Schule;Hamburg-Nord;Grundschule;5;260000
5849;Carl-von-Ossietzky-Gymnasium;Carl-von-Ossietzky-Gymnasium;Müssenredder 59, 22399 Hamburg;53.655215;10.068211;Gymnasium;Gymnasium;fa-building-o;green;3,5;5;;;38457;40775;49224;;;;;
5862;Charlotte-Paulsen-Gymnasium;Charlotte-Paulsen-Gymnasium;Neumann-Reichardt-Straße 20, 22041 Hamburg;53.57252;10.078481;Gymnasium;Gymnasium;fa-building-o;green;3,5;5;;;34830;21057;14047;Charlotte-Paulsen-Gymnasium;Wandsbek-Süd;Grundschule;2;75000
8501;Christian- Morgenstern- Schule (Stadtteilschule);;Heinrichstraße 14, 22769 Hamburg;53.566061;9.957599;Stadtteilschule;;fa-building-o;green;;;;;;;;;;;;
7909;Christian-Morgenstern-Schule (Grundschule);;Heinrichstraße 14, 22769 Hamburg;53.566061;9.957599;Grundschule;;fa-building-o;green;;;;;;;;;;;;
5813;Christianeum;Christianeum;Otto-Ernst-Straße 34, 22605 Hamburg;53.55805;9.874134;Gymnasium;Gymnasium;fa-building-o;green;4;6;;;28797;44939;36322;;;;;
7706;Christophorus-Schule;;Bergstedter Chaussee 205, 22395 Hamburg;53.675663;10.13557;Sonderschule;;fa-building-o;green;;;;;;;;;;;;
5615;Clara-Grunwald-Schule;Clara-Grunwald-Schule;Walter-Rothenburg-Weg 37, 21035 Hamburg;53.485665;10.152028;Grundschule;Grundschule;fa-building-o;green;2;2;;;;101573;51832;Clara-Grunwald-Schule;Bergedorf;Grundschule;2;79100
;;Cranz;;;;;Grundschule;;;2;3;0;13992;31903;7847;0;;;;;
;;Dempwolffstraße;;;;;Grundschule;;;4,2;2;0;6664;0;0;0;;;;;
3230;Domschule St. Marien (Grundschule);;Schmilinskystraße 70, 20099 Hamburg;53.557881;10.014614;Grundschule;;fa-building-o;green;;;;;;;;;;;;
3202;Domschule St. Marien (Stadtteilschule);;Schmilinskystraße 70, 20099 Hamburg;53.557881;10.014614;Stadtteilschule;;fa-building-o;green;;;;;;;;;;;;
;;Eimsbüttler Modell, Oberstufenhaus;;;;;Gymnasium;;;3;0;;;6247;8241;5186;;;;;
5742;Elbinselschule;Elbinselschule;Rahmwerder Straße 3, 21109 Hamburg;53.512144;10.019359;Grundschule;Grundschule;fa-building-o;green;1,8;1;;;;;300;Elbinselschule;GMH - Süd;Grundschule;1;75000
5158;Elbkinder Grundschule;;Grotefendweg 20, 22589 Hamburg;53.56673;9.829594;Grundschule;;fa-building-o;green;;;;;;;;;;;;
5145;Elbschule Bildungszentrum Hören und Kommunikation;Elbschule Bildungszentrum Hören und Kommunikation;Holmbrook 20, 22605 Hamburg;53.552854;9.899005;Sonderschule;Sonderschule;fa-building-o;green;3;0;;;7077;21154;16353;Elbschule Bildungszentrum Hören und Kommunikation;Altona;Förderschule;0;89500
5863;Emilie-Wüstenfeld-Gymnasium;Emilie-Wüstenfeld-Gymnasium;Bundesstraße 78, 20144 Hamburg;53.570918;9.972009;Gymnasium;Gymnasium;fa-building-o;green;4,1;5;;;16250;6562;12238;Emilie-Wüstenfeld-Gymnasium;Eimsbüttel;Gymnasium;5;68003
5064;Erich Kästner Schule;Erich Kästner-Schule;An der Berner Au 12, 22159 Hamburg;53.619607;10.120114;Stadtteilschule;Grund- /Stadtteilschule;fa-building-o;green;4,1;3;;;106159;84981;78264;;;;;
;;FE-Halle;;;;;Gymnasium;;;2,2;5;0;0;0;0;5280;;;;;
;;Förderschule Baererstraße;;;;;Förderschule;;;3;0;0;0;0;0;0;;;;;
;;Förderschule Elfenwiese;;;;;Förderschule;;;3;0;0;0;0;0;0;;;;;
;;Förderschule Karl-Arnold Ring;;;;;Förderschule;;;0;0;0;0;0;5183;0;;;;;
;;Förderschule Nymphenweg;;;;;Förderschule;;;2,9;0;0;0;0;0;0;;;;;
3210;Franz-von-Assisi-Schule;;Lämmersieth 38, 22305 Hamburg;53.585269;10.054826;Stadtteilschule;;fa-building-o;green;;;;;;;;;;;;
5264;Fridtjof-Nansen-Schule;Fridtjof-Nansen-Schule;Swatten Weg 10, 22547 Hamburg;53.59945;9.858029;Grundschule;Grundschule;fa-building-o;green;3,3;3;;;27403;23452;18718;Fridtjof-Nansen-Schule;Altona;Grundschule;3;255000
;;Frieda-Stoppenbrink-Schule;;;;;Grundschule;;;5,2;0;0;5945;11329;0;10831;;;;;
5801;Friedrich-Ebert-Gymnasium;Friedrich-Ebert-Gymnasium;Alter Postweg 30, 21075 Hamburg;53.464992;9.965082;Gymnasium;Gymnasium;fa-building-o;green;2,2;5;0;19861;0;0;18085;Friedrich-Ebert-Gymnasium;GMH - Süd;Gymnasium;5;50000
8106;Friedrich-Robbe-Institut;;Bärenallee 15, 22041 Hamburg;53.569672;10.063457;Sonderschule;;fa-building-o;green;;;;;;;;;;;;
5134;Fritz-Köhne-Schule;Fritz-Köhne-Schule;Marckmannstraße 61, 20539 Hamburg;53.535801;10.039874;Grundschule;Grundschule;fa-building-o;green;3,2;1;;;37355;31425;22414;Fritz-Köhne-Schule;Hamburg-Mitte;Grundschule;1;55000
5065;Fritz-Schumacher-Schule;Fritz-Schumacher-Schule;Foorthkamp 42, 22417 Hamburg;53.660023;10.012487;Stadtteilschule;Stadtteilschule;fa-building-o;green;4,1;4;;;38535;15854;37600;Fritz-Schumacher-Schule;Hamburg-Nord;Stadtteilschule;4;323300
;;;;;;;;;;;;;;;;;FS Elfenwiese;GMH - Süd;Sonderschule;0;89000
;;;;;;;;;;;;;;;;;FSP II;HIBB;Berufsschule;0;200000
;;;;;;;;;;;;;;;;;G01;HIBB;Berufsschule;0;405000
;;;;;;;;;;;;;;;;;G03;HIBB;Berufsschule;0;85000
;;;;;;;;;;;;;;;;;G06;HIBB;Berufsschule;0;610000
;;;;;;;;;;;;;;;;;G09;HIBB;Berufsschule;0;395000
;;G 15;;;;;Berufsschule;;;2,7;0;;;97601;115914;89660;G15;HIBB;Berufsschule;0;140000
;;;;;;;;;;;;;;;;;G16;HIBB;Berufsschule;0;832000
;;G 17;;;;;Berufsschule;;;3;0;;;35413;86716;47563;G17;HIBB;Berufsschule;0;425000
;;;;;;;;;;;;;;;;;G18;HIBB;Berufsschule;0;465000
;;G 19;;;;;Berufsschule;;;3,8;0;;;80382;105677;121186;G19;HIBB;Berufsschule;0;540000
5747;Ganztagsgrundschule Am Johannisland;;Am Johannisland 4, 21147 Hamburg;53.475995;9.854173;Grundschule;;fa-building-o;green;;;;;;;;;;;;
